Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"senior data scientist / machine learning / ai engineer
bion",bion,['bengaluru'],8 - 13 years,"['key skills', 'javarestsoftware developmentartificial intelligenceweblogicjavascriptprogrammingj2eehtmlagile development']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :mca in any specialization, m.tech in any specialization', 'doctorate :doctorate not required']"
"senior data scientist / machine learning / ai engineer
bion",bion,['bengaluru'],8 - 10 years,"['key skills', 'javarestsoftware developmentartificial intelligenceweblogicjavascriptprogrammingj2eehtmlagile development']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :mca in any specialization, m.tech in any specialization', 'doctorate :doctorate not required']"
"sr. data scientist/manager (6+ yrs in ds/ml, service industry only)
ave-promagne",ave-promagne,['remote'],7 - 12 years,"['key skills', 'data sciencepysparkexploratory data analysisdata engineeringartificial intelligencebig datasparkmachine learningpythonsqlmodel development']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"immediate opening for data scientist/data analyst
caia-center for artificial intelligence & advanced analytics",caia-center for artificial intelligence & advanced analytics,"['chennai', ' pune', ' bengaluru', ' hyderabad']",0 - 3 years,"['key skills', 'business intelligenceartificial intelligencenatural language processingneural networksdata miningmachine learningdeep learningsqldata sciencernlpcloud computingdata analysisplsqldata warehousingetlpredictive analyticspython']","₹ 3,50,000 - 4,50,000 p.a.","['education', 'ug :any graduate in any specialization, other graduate, b.com in any specialization, b.tech/b.e. in any specialization, b.sc in any specialization, diploma in any specialization', 'pg :mba/pgdm in any specialization, post graduation not required, m.tech in any specialization, other, m.com in any specialization, pg diploma in any specialization, ms/m.sc(science) in any specialization, mca in any specialization']"
"data scientist
ai bridge ml",ai bridge ml,['hyderabad'],5 - 8 years,"['key skills', 'rexcelnatural language processingstatistical modelingdata analyticsobject oriented programmingmachine learningstatisticsdeep learningpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist
intertrustviteos corporate and fund services pvt. ltd.",intertrustviteos corporate and fund services pvt. ltd.,"['chennai', ' mumbai', ' bengaluru']",5 - 10 years,"['key skills', 'algorithmsdata analysispython', 'javaopen sourcebuildscaladata collectiontableaudata architecture', 'skills highlighted with ‘‘ are preferred keyskills']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :ms/m.sc(science) in any specialization, m.tech in any specialization, mca in any specialization']"
"senior data scientist
bayer4.4(553 reviews)",bayer4.4(553 reviews),['bengaluru'],8 - 12 years,"['key skills', 'data sciencepredictive modelingrgenomicsoperations researchaigeneticsmachine learningbioinformaticsstatistical analysisstatisticspython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :ms/m.sc(science) in any specialization', 'doctorate :any doctorate in any specialization']"
"sr. data scientist/ sr. data science consultant
course5i intelligence pvt ltd",course5i intelligence pvt ltd,['bengaluru'],5 - 10 years,"['key skills', 'data scienceanalyticalartificial intelligencemarket intelligencemachine learningbusiness strategybusiness solutionsproject deliveryrfpanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
"senior data scientist
walmart labs4.2(595 reviews)",walmart labs4.2(595 reviews),['bengaluru'],7 - 10 years,"['key skills', 'quality standardsdata scienceneural networkse-commercepredictive modelingresearchbig dataforecastingpython']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization, any graduate in any specialization', 'pg :post graduation not required']"
"senior data scientist
decision culture4.5(2 reviews)",decision culture4.5(2 reviews),['bengaluru( hsr layout )'],6 - 11 years,"['key skills', 'artificial intelligencebig datamachine learningdeep learning']","₹ 20,00,000 - 30,00,000 p.a.","['education', 'ug :b.tech/b.e. in any specialization']"
"senior data scientist
siemens gamesa renewable energy4.3(365 reviews)",siemens gamesa renewable energy4.3(365 reviews),['bengaluru'],5 - 10 years,"['key skills', 'renewable energybig data analyticsit infrastructuredata architectrelationshipsiemensdeploymentdata qualityopen sourceanalytics']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"data scientist
ibm india pvt. limited4.0(8564 reviews)",ibm india pvt. limited4.0(8564 reviews),['india'],3 - 8 years,"['key skills', 'javapysparkhivechadoopbig datamapreducehdfshbasepig']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"senior data scientist
walmart labs4.2(595 reviews)",walmart labs4.2(595 reviews),['bengaluru'],5 - 9 years,"['key skills', 'computer sciencedata sciencecodingmachine learningscalae-commercestakeholder managementanalyticssqlpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization']"
